Big Brown Bat, Eptesicus fuscus
Eastern Red Bat, Lasiurus borealis
Silver-Haired Bat, Lasionycteris noctivagans
Little Brown Bat, Myotis lucifugus
Northern Long-Eared Bat, Myotis septentrionalis
Evening Bat, Nycticeius humeralis
Tri-Colored Bat, Perimyotis subflavus
Gray Bat, Myotis griscens
Townsend's Big-Eared Bat, Corynorhinus townsendii
Hoary Bat, Lasiurus cinereus
Rafinesque's Big-Eared Bat, Corynorhinus rafinesquii
Southeastern Bat, Myotis austroriparius
Small-footed Bat, Myotis leibii
Indiana Bat, Myotis sodalis
No ID, 
