Location, GPS North, GPS West
Back Porch, 37.428856, -77.673302
Fire Ring, 37.386233, -77.569483
Pool Field, 37.387158, -77.576904
Front Field, 37.367751, -77.572322
Beaver Lake, 37.385917, -77.58445
CCC Field (Front), 37.370883, -77.578433
Pool Maternity Boxes, 37.44083333, -77.74138889
Group Camp 7 Lake, 37.341399, -77.56712
Boat Ramp, 37.388883, -77.575433
Playground, 37.387083, -77.5794
Playground Maternity Boxes, 37.44583333, -77.77888889
Picnic Shelter Parking Lot, 37.3899, -77.5789
Equestrian Center, 37.357573, -77.572992
CCC Field (Back), 37.372665, -77.579072
CCC Museum, 37.38567, -77.58257
Powerline Trail, 37.370883, -77.578433
Walking/Driving Transect
